	SP	DAX	FTSE	EUR	GBP
2/16/00	1387.670044	7490.319824	6147.399902	0.9906	1.6095
2/17/00	1388.26001	7580.529785	6209.299805	0.9831	1.5983
2/18/00	1346.089966	7573.779785	6165	1.0034	1.6138
2/22/00	1352.170044	7607.939941	6014.700195	1.0054	1.6076
2/23/00	1360.689941	7698.970215	6144.100098	0.9925	1.6008
2/24/00	1353.430054	7640.529785	6086.700195	0.9824	1.5943
2/25/00	1333.359985	7738.680176	6198	0.9677	1.5907
2/28/00	1348.050049	7587.129883	6099.600098	0.9674	1.5813
2/29/00	1366.420044	7644.549805	6232.600098	0.9671	1.5833
3/1/00	1379.189941	7727.930176	6364.899902	0.9724	1.5823
3/2/00	1381.76001	7945.77002	6432.100098	0.9623	1.5774
3/3/00	1409.170044	7960.029785	6487.5	0.9599	1.5725
3/6/00	1391.280029	7975.779785	6567.799805	0.9582	1.5743
3/7/00	1355.619995	8064.970215	6466.5	0.9549	1.5772
3/8/00	1366.699951	7987	6411.200195	0.9643	1.5803
3/9/00	1401.689941	7949.149902	6532.100098	0.9635	1.5794
3/10/00	1395.069946	7975.950195	6568.700195	0.9693	1.5808
3/13/00	1383.619995	7693.850098	6466.899902	0.9656	1.5733
3/14/00	1359.150024	7650.049805	6487.100098	0.9674	1.573
3/15/00	1392.140015	7414.459961	6447	0.9684	1.5743
3/16/00	1458.469971	7583.959961	6557.299805	0.9683	1.5733
3/17/00	1464.469971	7710.919922	6558	0.9703	1.5656
3/20/00	1456.630005	7872.379883	6624.5	0.9719	1.5728
3/21/00	1493.869995	7807.930176	6617.899902	0.96	1.5654
3/22/00	1500.640015	7798.620117	6609.600098	0.9706	1.5835
3/23/00	1527.349976	7694.779785	6594.600098	0.9726	1.5898
3/24/00	1527.459961	7932.419922	6738.5	0.9706	1.5913
3/27/00	1523.859985	7892.490234	6687.200195	0.967	1.5852
3/28/00	1507.72998	7931.930176	6650.100098	0.9527	1.584
3/29/00	1508.52002	7864.759766	6598.799805	0.9563	1.594
3/30/00	1487.920044	7644.890137	6445.200195	0.9576	1.5953
3/31/00	1498.579956	7599.390137	6540.200195	0.956	1.5938
4/3/00	1505.969971	7429.220215	6462.100098	0.9538	1.5953
4/4/00	1494.72998	7522.799805	6427	0.9671	1.5887
4/5/00	1487.369995	7330.77002	6379.299805	0.9596	1.5823
4/6/00	1501.339966	7446.209961	6451.100098	0.957	1.5814
4/7/00	1516.349976	7522.200195	6569.899902	0.9606	1.583
4/10/00	1504.459961	7516.950195	6533.399902	0.9616	1.5869
