Date,GOOG,GOOGL
6/13/16,718.359985,731.880005
6/14/16,718.27002,733.25
6/15/16,718.919983,732.190002
6/16/16,710.359985,724.25
6/17/16,691.719971,704.25
6/20/16,693.710022,706.130005
6/21/16,695.940002,708.880005
6/22/16,697.460022,710.469971
6/23/16,701.869995,714.869995
6/24/16,675.219971,685.200012
6/27/16,668.26001,681.140015
6/28/16,680.039978,691.26001
6/29/16,684.109985,695.190002
6/30/16,692.099976,703.530029
7/1/16,699.210022,710.25
7/5/16,694.950012,704.890015
7/6/16,697.77002,708.969971
7/7/16,695.359985,707.26001
7/8/16,705.630005,717.780029
7/11/16,715.090027,727.200012
7/12/16,720.640015,732.51001
7/13/16,716.97998,729.47998
7/14/16,720.950012,735.799988
7/15/16,719.849976,735.630005
7/18/16,733.780029,753.200012
7/19/16,736.960022,753.409973
7/20/16,741.190002,757.080017
7/21/16,738.630005,754.409973
7/22/16,742.73999,759.280029
7/25/16,739.77002,757.52002
7/26/16,738.419983,757.650024
7/27/16,741.77002,761.969971
7/28/16,745.909973,765.840027
7/29/16,768.789978,791.340027
8/1/16,772.880005,800.940002
8/2/16,771.070007,800.119995
8/3/16,773.179993,798.919983
8/4/16,771.609985,797.25
8/5/16,782.219971,806.929993
8/8/16,781.76001,805.22998
8/9/16,784.26001,807.47998
8/10/16,784.679993,808.48999
8/11/16,784.849976,808.200012
8/12/16,783.219971,807.049988
8/15/16,782.440002,805.960022
8/16/16,777.140015,801.190002
8/17/16,779.909973,805.419983
8/18/16,777.5,802.75
8/19/16,775.419983,799.650024
8/22/16,772.150024,796.950012
8/23/16,772.080017,796.590027
8/24/16,769.640015,793.599976
8/25/16,769.409973,791.299988
8/26/16,769.539978,793.219971
8/29/16,772.150024,795.820007
8/30/16,769.090027,791.919983
8/31/16,767.049988,789.849976
9/1/16,768.780029,791.400024
9/2/16,771.460022,796.869995
9/6/16,780.080017,808.02002
9/7/16,780.349976,807.98999
9/8/16,775.320007,802.840027
9/9/16,759.659973,788.47998
9/12/16,769.02002,798.820007
9/13/16,759.690002,788.719971
9/14/16,762.48999,790.460022
9/15/16,771.76001,801.22998
9/16/16,768.880005,797.969971
9/19/16,765.700012,795.390015
9/20/16,771.409973,799.780029
9/21/16,776.219971,805.030029
9/22/16,787.210022,815.950012
9/23/16,786.900024,814.960022
9/26/16,774.210022,802.650024
9/27/16,783.01001,810.72998
9/28/16,781.559998,810.059998
9/29/16,775.01001,802.640015
9/30/16,777.289978,804.059998
10/3/16,772.559998,800.380005
10/4/16,776.429993,802.789978
10/5/16,776.469971,801.22998
10/6/16,776.859985,803.080017
10/7/16,775.080017,800.710022
10/10/16,785.940002,814.169983
10/11/16,783.070007,809.570007
10/12/16,786.140015,811.77002
10/13/16,778.190002,804.080017
10/14/16,778.530029,804.599976
10/17/16,779.960022,806.840027
10/18/16,795.26001,821.48999
10/19/16,801.5,826.840027
10/20/16,796.969971,821.630005
10/21/16,799.369995,824.059998
10/24/16,813.109985,835.73999
10/25/16,807.669983,828.549988
10/26/16,799.070007,822.099976
10/27/16,795.349976,817.349976
10/28/16,795.369995,819.559998
10/31/16,784.539978,809.900024
11/1/16,783.609985,805.47998
11/2/16,768.700012,788.419983
11/3/16,762.130005,782.190002
11/4/16,762.02002,781.099976
11/7/16,782.52002,802.030029
11/8/16,790.51001,811.97998
11/9/16,785.309998,805.590027
11/10/16,762.559998,780.289978
11/11/16,754.02002,771.75
11/14/16,736.080017,753.219971
11/15/16,758.48999,775.159973
11/16/16,764.47998,779.97998
11/17/16,771.22998,786.159973
11/18/16,760.539978,775.969971
11/21/16,769.200012,784.799988
11/22/16,768.27002,785
11/23/16,760.98999,779
11/25/16,761.679993,780.22998
11/28/16,768.23999,785.789978
11/29/16,770.840027,789.440002
11/30/16,758.039978,775.880005
12/1/16,747.919983,764.330017
12/2/16,750.5,764.460022
12/5/16,762.52002,778.219971
12/6/16,759.109985,776.179993
12/7/16,771.190002,791.469971
12/8/16,776.419983,795.169983
12/9/16,789.289978,809.450012
12/12/16,789.27002,807.900024
12/13/16,796.099976,815.340027
12/14/16,797.070007,817.890015
12/15/16,797.849976,815.650024
12/16/16,790.799988,809.840027
12/19/16,794.200012,812.5
12/20/16,796.419983,815.200012
12/21/16,794.559998,812.200012
12/22/16,791.26001,809.679993
12/23/16,789.909973,807.799988
12/27/16,791.549988,809.929993
12/28/16,785.049988,804.570007
12/29/16,782.789978,802.880005
12/30/16,771.820007,792.450012
1/3/17,786.140015,808.01001
1/4/17,786.900024,807.77002
1/5/17,794.02002,813.02002
1/6/17,806.150024,825.210022
1/9/17,806.650024,827.179993
1/10/17,804.789978,826.01001
1/11/17,807.909973,829.859985
1/12/17,806.359985,829.530029
1/13/17,807.880005,830.940002
1/17/17,804.609985,827.460022
1/18/17,806.070007,829.02002
1/19/17,802.174988,824.369995
1/20/17,805.02002,828.169983
1/23/17,819.309998,844.429993
1/24/17,823.869995,849.530029
1/25/17,835.669983,858.450012
1/26/17,832.150024,856.97998
1/27/17,823.309998,845.030029
1/30/17,802.320007,823.830017
1/31/17,796.789978,820.190002
2/1/17,795.695007,815.23999
2/2/17,798.530029,818.26001
2/3/17,801.48999,820.130005
2/6/17,801.340027,821.619995
2/7/17,806.969971,829.22998
2/8/17,808.380005,829.880005
2/9/17,809.559998,830.059998
2/10/17,813.669983,834.849976
2/13/17,819.23999,838.960022
2/14/17,820.450012,840.030029
2/15/17,818.97998,837.320007
2/16/17,824.159973,842.169983
2/17/17,828.070007,846.549988
